# HDT throughput run started 2026-09-18T15:54:42+02:00
# config: virtual_file_size_mb=50 conn_interval_units=80 packet_size_bytes=506 delay=5
timestamp,phy,virtual_file_size_mb,throughput_kbps,avg_throughput_kbps,transfer_time_ms,connection_interval_ms,packet_size_bytes
2026-09-19T06:43:22+02:00,HDT2,50,1513,1498,279984,100,506
2026-09-19T06:45:27+02:00,HDT7.5,50,2752,3413,122782,100,506
2026-09-19T06:47:35+02:00,HDT6,50,3444,3313,126672,100,506
2026-09-19T06:50:22+02:00,HDT4,50,2639,2557,164156,100,506
2026-09-19T06:53:44+02:00,HDT3,50,2140,2094,200281,100,506
2026-09-19T06:58:25+02:00,HDT2,50,1545,1503,279203,100,506
2026-09-19T07:00:35+02:00,HDT7.5,50,3734,3294,127250,100,506
2026-09-19T07:02:42+02:00,HDT6,50,3347,3371,124469,100,506
2026-09-19T07:05:27+02:00,HDT4,50,2639,2570,163250,100,506
2026-09-19T07:08:49+02:00,HDT3,50,2156,2097,200016,100,506
2026-09-19T07:13:30+02:00,HDT2,50,1529,1507,278532,100,506
2026-09-19T07:15:37+02:00,HDT7.5,50,3895,3350,125204,100,506
2026-09-19T07:17:44+02:00,HDT6,50,3460,3352,125110,100,506
2026-09-19T07:20:29+02:00,HDT4,50,2639,2577,162735,100,506
2026-09-19T07:23:53+02:00,HDT3,50,2140,2081,201687,100,506
2026-09-19T07:28:34+02:00,HDT2,50,1545,1501,279532,100,506
2026-09-19T07:30:40+02:00,HDT7.5,50,3799,3386,123843,100,506
2026-09-19T07:32:48+02:00,HDT6,50,3350,3348,125328,100,506
2026-09-19T07:35:34+02:00,HDT4,50,2575,2559,163922,100,506
2026-09-19T07:38:56+02:00,HDT3,50,2124,2096,200203,100,506
2026-09-19T07:43:39+02:00,HDT2,50,1545,1495,280563,100,506
2026-09-19T07:45:44+02:00,HDT7.5,50,3895,3406,123235,100,506
2026-09-19T07:47:51+02:00,HDT6,50,3444,3366,124609,100,506
2026-09-19T07:50:36+02:00,HDT4,50,2639,2573,163203,100,506
2026-09-19T07:53:58+02:00,HDT3,50,2108,2105,199266,100,506
2026-09-19T07:58:39+02:00,HDT2,50,1513,1505,278938,100,506
2026-09-19T08:00:44+02:00,HDT7.5,50,3863,3405,123110,100,506
2026-09-19T08:02:52+02:00,HDT6,50,3444,3330,126000,100,506
2026-09-19T08:05:37+02:00,HDT4,50,2639,2571,163296,100,506
2026-09-19T08:08:59+02:00,HDT3,50,2156,2100,199797,100,506
2026-09-19T08:13:40+02:00,HDT2,50,1545,1506,278641,100,506
2026-09-19T08:15:47+02:00,HDT7.5,50,3895,3367,124641,100,506
2026-09-19T08:17:54+02:00,HDT6,50,3444,3352,125110,100,506
2026-09-19T08:20:39+02:00,HDT4,50,2591,2573,163015,100,506
2026-09-19T08:24:01+02:00,HDT3,50,2156,2100,199719,100,506
2026-09-19T08:28:42+02:00,HDT2,50,1513,1502,279235,100,506
2026-09-19T08:30:50+02:00,HDT7.5,50,3106,3328,125890,100,506
2026-09-19T08:32:58+02:00,HDT6,50,3460,3339,125641,100,506
2026-09-19T08:35:44+02:00,HDT4,50,2639,2556,164157,100,506
2026-09-19T08:39:07+02:00,HDT3,50,2116,2088,201125,100,506
2026-09-19T08:43:49+02:00,HDT2,50,1513,1501,279453,100,506
2026-09-19T08:45:54+02:00,HDT7.5,50,3026,3405,123281,100,506
2026-09-19T08:48:02+02:00,HDT6,50,3396,3346,125359,100,506
2026-09-19T08:50:48+02:00,HDT4,50,2575,2560,163860,100,506
2026-09-19T08:54:10+02:00,HDT3,50,2124,2095,200406,100,506
2026-09-19T08:58:51+02:00,HDT2,50,1513,1506,278516,100,506
2026-09-19T09:00:57+02:00,HDT7.5,50,3203,3383,124031,100,506
2026-09-19T09:03:04+02:00,HDT6,50,3444,3348,125313,100,506
2026-09-19T09:05:50+02:00,HDT4,50,2639,2561,163828,100,506
2026-09-19T09:09:12+02:00,HDT3,50,2156,2100,199719,100,506
2026-09-19T09:13:54+02:00,HDT2,50,1545,1503,279047,100,506
2026-09-19T09:15:59+02:00,HDT7.5,50,3492,3418,122922,100,506
2026-09-19T09:18:06+02:00,HDT6,50,3428,3352,125141,100,506
2026-09-19T09:20:51+02:00,HDT4,50,2591,2573,163032,100,506
2026-09-19T09:24:15+02:00,HDT3,50,2156,2085,201188,100,506
2026-09-19T09:28:55+02:00,HDT2,50,1513,1509,278344,100,506
2026-09-19T09:31:01+02:00,HDT7.5,50,3814,3383,123907,100,506
2026-09-19T09:33:09+02:00,HDT6,50,3380,3335,125907,100,506
2026-09-19T09:35:54+02:00,HDT4,50,2591,2575,163031,100,506
2026-09-19T09:39:17+02:00,HDT3,50,2108,2093,200469,100,506
2026-09-19T09:43:57+02:00,HDT2,50,1513,1507,278296,100,506
2026-09-19T09:46:03+02:00,HDT7.5,50,3299,3389,123891,100,506
2026-09-19T09:48:11+02:00,HDT6,50,3380,3345,125438,100,506
2026-09-19T09:50:57+02:00,HDT4,50,2591,2563,163844,100,506
2026-09-19T09:54:18+02:00,HDT3,50,2156,2100,199719,100,506
2026-09-19T09:59:00+02:00,HDT2,50,1545,1503,279078,100,506
2026-09-19T10:01:05+02:00,HDT7.5,50,3798,3408,122953,100,506
2026-09-19T10:03:13+02:00,HDT6,50,3396,3325,126125,100,506
2026-09-19T10:05:59+02:00,HDT4,50,2639,2564,163594,100,506
2026-09-19T10:09:21+02:00,HDT3,50,2108,2095,200328,100,506
2026-09-19T10:14:02+02:00,HDT2,50,1110,1505,278781,100,506
2026-09-19T10:16:09+02:00,HDT7.5,50,3863,3364,124594,100,506
2026-09-19T10:18:16+02:00,HDT6,50,3460,3342,125640,100,506
2026-09-19T10:21:02+02:00,HDT4,50,2629,2559,163906,100,506
2026-09-19T10:24:25+02:00,HDT3,50,2140,2089,200765,100,506
2026-09-19T10:29:07+02:00,HDT2,50,1513,1502,279343,100,506
2026-09-19T10:31:12+02:00,HDT7.5,50,3895,3409,123156,100,506
2026-09-19T10:33:19+02:00,HDT6,50,3380,3346,125391,100,506
2026-09-19T10:36:04+02:00,HDT4,50,2591,2573,163016,100,506
2026-09-19T10:39:27+02:00,HDT3,50,2156,2088,200968,100,506
2026-09-19T10:44:08+02:00,HDT2,50,1545,1505,278672,100,506
2026-09-19T10:46:14+02:00,HDT7.5,50,3814,3393,123938,100,506
2026-09-19T10:48:22+02:00,HDT6,50,3412,3352,125187,100,506
2026-09-19T10:51:07+02:00,HDT4,50,2639,2570,163203,100,506
2026-09-19T10:54:29+02:00,HDT3,50,2156,2102,199484,100,506
2026-09-19T10:59:10+02:00,HDT2,50,1513,1505,278703,100,506
2026-09-19T11:01:16+02:00,HDT7.5,50,3830,3364,124812,100,506
2026-09-19T11:03:23+02:00,HDT6,50,3380,3357,124938,100,506
2026-09-19T11:06:09+02:00,HDT4,50,2655,2563,163844,100,506
2026-09-19T11:09:32+02:00,HDT3,50,2156,2096,200078,100,506
2026-09-19T11:14:14+02:00,HDT2,50,1513,1498,280062,100,506
2026-09-19T11:16:19+02:00,HDT7.5,50,3782,3399,123453,100,506
2026-09-19T11:18:27+02:00,HDT6,50,3347,3346,125422,100,506
2026-09-19T11:21:14+02:00,HDT4,50,2639,2542,164969,100,506
2026-09-19T11:24:36+02:00,HDT3,50,2108,2093,200375,100,506
